타가, 159, 79
파마, 196, 90
아마, 199, 66
파다, 162, 68
다라, 176, 53
파바, 165, 94
차하, 158, 65
나차, 167, 82
아마, 173, 73
바바, 198, 71
하바, 159, 97
타사, 160, 63
라하, 152, 95
사바, 174, 66
다다, 188, 55
사라, 165, 94
사마, 198, 72
타바, 153, 69
나가, 178, 85
파차, 188, 66
파다, 176, 69
라바, 153, 73
사아, 156, 70
마타, 171, 64
차자, 157, 89
파마, 177, 53
바타, 192, 92
파가, 198, 64
아나, 171, 51
사하, 175, 52
파아, 185, 90
바바, 199, 84
사차, 151, 58
차사, 169, 67
라다, 183, 74
자카, 165, 51
사라, 181, 93
마마, 169, 67
타카, 160, 71
나나, 185, 79
나사, 151, 76
파가, 153, 55
바차, 192, 97
다나, 168, 80
자라, 193, 80
타사, 192, 55
차자, 165, 91
파나, 166, 83
파나, 184, 82
타바, 179, 62
차가, 191, 90
차사, 169, 98
마카, 178, 77
타라, 176, 53
카라, 176, 58
타라, 195, 70
카마, 155, 74
사라, 183, 64
차자, 165, 94
차차, 184, 94
파라, 168, 59
사자, 191, 50
아바, 158, 70
다카, 162, 86
사타, 159, 92
카하, 167, 70
마다, 194, 87
아타, 173, 97
라가, 196, 73
카카, 191, 97
바자, 159, 65
차사, 165, 60
마가, 181, 78
자카, 158, 78
카차, 175, 57
파아, 152, 51
하하, 194, 97
나가, 162, 66
카자, 185, 72
나차, 176, 66
가카, 173, 54
하다, 156, 81
타타, 177, 59
라사, 186, 90
다아, 183, 79
타가, 190, 66
타사, 185, 96
마차, 172, 71
하나, 161, 53
아바, 166, 96
아카, 157, 83
마파, 175, 89
마타, 155, 84
자마, 163, 55
가바, 182, 78
나파, 156, 84
카타, 183, 68
타아, 153, 87
나사, 173, 69
나하, 171, 76
라가, 161, 84
가아, 190, 68
마바, 177, 76
다아, 178, 70
차바, 156, 63
사바, 188, 60
카라, 199, 72
라파, 154, 76
사마, 152, 55
다자, 156, 56
다하, 178, 94
가파, 181, 89
라파, 184, 88
가카, 175, 58
파하, 181, 84
나나, 195, 61
마자, 195, 68
가카, 166, 99
가하, 165, 56
자라, 152, 82
자아, 194, 72
차파, 192, 84
차나, 178, 95
타타, 150, 87
아아, 181, 50
하자, 170, 91
다가, 157, 51
차카, 163, 69
타타, 198, 54
다다, 197, 58
파자, 152, 85
자자, 151, 74
카라, 184, 90
차나, 183, 93
자다, 185, 97
바바, 180, 91
하마, 191, 88
바라, 155, 77
타바, 150, 83
카아, 185, 65
나아, 159, 90
나카, 153, 55
사사, 151, 55
아카, 186, 50
다카, 174, 67
다자, 177, 50
바가, 156, 88
차바, 164, 86
다나, 185, 86
마파, 177, 53
카다, 187, 90
사아, 181, 89
가바, 184, 53
바바, 189, 73
파나, 165, 63
라바, 169, 75
차다, 173, 74
나카, 158, 61
가가, 169, 50
가라, 198, 99
나가, 192, 97
카카, 199, 93
나나, 161, 76
나마, 165, 72
하라, 194, 62
자카, 173, 78
가바, 156, 52
가마, 195, 70
아하, 153, 83
라아, 155, 67
가바, 198, 86
사사, 151, 50
하카, 177, 82
자바, 164, 67
하나, 199, 75
차아, 158, 77
자카, 182, 89
자차, 157, 97
가가, 194, 85
파타, 175, 61
바카, 160, 72
마카, 187, 51
마아, 154, 53
바카, 193, 93
마다, 196, 69
아카, 157, 52
카타, 178, 84
타카, 188, 90
다타, 169, 77
하다, 184, 81
바아, 172, 76
아하, 154, 56
타파, 156, 81
차차, 190, 56
파하, 150, 57
파라, 190, 85
다타, 177, 87
다사, 151, 78
나가, 187, 93
마아, 181, 88
가사, 153, 71
자바, 195, 68
다사, 151, 75
다라, 178, 57
사라, 187, 53
파아, 188, 86
라아, 193, 65
바마, 154, 81
마라, 156, 73
마카, 161, 86
자타, 194, 57
하가, 169, 79
가자, 184, 65
자하, 168, 80
타타, 196, 74
하바, 157, 92
다사, 193, 94
마차, 161, 80
차사, 183, 90
차나, 153, 94
가아, 158, 58
하차, 157, 97
나사, 158, 64
카라, 151, 76
카아, 157, 83
라나, 152, 72
바차, 183, 77
다사, 182, 80
카파, 180, 88
하자, 150, 62
라사, 160, 66
파바, 170, 74
라카, 180, 53
하마, 169, 66
가하, 173, 77
라가, 160, 82
사가, 183, 87
하라, 198, 54
사자, 165, 91
사차, 160, 57
하하, 172, 70
가카, 157, 92
다다, 153, 57
자카, 193, 73
파마, 192, 88
파카, 194, 63
다타, 179, 82
하다, 162, 56
아아, 163, 84
마타, 169, 89
라바, 157, 60
다가, 160, 53
타라, 184, 67
마아, 163, 55
마사, 161, 64
다차, 196, 52
바라, 154, 87
마하, 166, 51
카바, 158, 89
바마, 159, 98
아하, 198, 54
타카, 150, 90
아가, 166, 89
아라, 165, 81
가카, 153, 93
파다, 197, 89
타바, 152, 89
파하, 168, 84
자아, 154, 71
아다, 193, 51
바바, 153, 92
가마, 154, 91
차타, 156, 90
타다, 155, 88
라타, 186, 52
하파, 196, 68
바마, 153, 82
사사, 161, 88
파타, 183, 71
하타, 151, 86
아하, 166, 65
사라, 167, 97
카자, 169, 73
타가, 185, 93
라파, 174, 74
마카, 167, 59
마라, 192, 92
카바, 181, 60
나아, 171, 95
마마, 167, 79
다타, 191, 50
파라, 171, 60
가나, 196, 99
다사, 198, 87
차자, 160, 59
라가, 173, 90
다다, 188, 87
자하, 175, 66
사사, 181, 89
카나, 168, 91
하카, 196, 75
마자, 188, 69
하차, 154, 57
라라, 165, 85
나차, 184, 98
아라, 185, 50
다다, 173, 87
타카, 196, 77
파다, 167, 88
사아, 163, 72
사마, 156, 89
차파, 172, 79
라카, 159, 79
사사, 171, 90
아사, 180, 53
차라, 169, 78
가마, 156, 72
마자, 160, 78
하바, 164, 72
가아, 185, 83
아자, 197, 94
가차, 183, 66
라하, 172, 60
바마, 152, 99
카바, 183, 61
카가, 176, 59
가타, 199, 96
자라, 154, 90
마하, 187, 59
사차, 172, 86
나다, 181, 67
차라, 164, 90
나타, 162, 73
자타, 193, 65
파가, 195, 96
라파, 164, 57
사마, 154, 63
아자, 177, 79
아자, 155, 83
가마, 196, 91
마아, 167, 67
파카, 197, 83
나하, 172, 55
다카, 151, 88
타파, 194, 57
파타, 184, 90
바아, 154, 95
사라, 160, 62
카타, 190, 62
자차, 194, 96
하카, 158, 62
가라, 198, 75
아카, 178, 80
바타, 170, 53
다자, 151, 51
자가, 195, 59
라파, 151, 80
파라, 189, 85
카아, 171, 83
나마, 184, 83
다라, 174, 87
하차, 192, 89
카라, 160, 97
파카, 160, 76
가마, 157, 57
차라, 174, 78
마차, 193, 53
차가, 178, 89
가자, 170, 85
